sdf,time_fs,probe,E_min_MeV,n_macro,weight_sum,E_weighted_mean_MeV,E_max_MeV,ddn_yield_sum,ddn_yield_per_weight,run_id,a0,thickness_um,gate
0017.sdf,4500.03031,D_rear05,0.4,4079.0,6493768000000000.0,0.54609092,1.19969626,61188502590.0,9.422649929e-06,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0017.sdf,4500.03031,D_rear10,0.4,11193.0,1.7819256e+16,0.573723549,1.414336,194257741000.0,1.090156295e-05,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0017.sdf,4500.03031,D_rear15,0.4,19639.0,3.1265288e+16,0.630458793,1.60555231,435516671300.0,1.392971884e-05,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0017.sdf,4500.03031,D_rear20,0.4,22250.0,3.5422e+16,0.730453162,1.86293748,709294627100.0,2.002412702e-05,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0018.sdf,4750.00061,D_rear02,0.4,1040.0,1655680000000000.0,0.503137826,1.02839907,12370958760.0,7.471829558e-06,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0018.sdf,4750.00061,D_rear05,0.4,2668.0,4247456000000000.0,0.530882326,1.06996439,36937982880.0,8.696495709e-06,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0018.sdf,4750.00061,D_rear10,0.4,7757.0,1.2349144e+16,0.559329711,1.29819023,125154766400.0,1.013469164e-05,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0018.sdf,4750.00061,D_rear15,0.4,15524.0,2.4714208e+16,0.599278715,1.55107132,302258396200.0,1.223014697e-05,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0018.sdf,4750.00061,D_rear20,0.4,19854.0,3.1607568e+16,0.681705696,1.78524054,535606269000.0,1.694550713e-05,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0019.sdf,5000.01798,D_rear02,0.4,760.0,1209920000000000.0,0.507856815,0.914673335,9304367483.0,7.690068338e-06,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0019.sdf,5000.01798,D_rear05,0.4,1814.0,2887888000000000.0,0.521327535,1.0785214,23884724620.0,8.270654755e-06,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0019.sdf,5000.01798,D_rear10,0.4,5132.0,8170144000000000.0,0.54592969,1.27387697,77638416870.0,9.502698713e-06,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0019.sdf,5000.01798,D_rear15,0.4,11701.0,1.8627992e+16,0.576408241,1.54381964,205297894800.0,1.102093531e-05,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0019.sdf,5000.01798,D_rear20,0.4,17014.0,2.7086288e+16,0.647244828,1.59522759,401910751300.0,1.483816281e-05,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0020.sdf,5250.03536,D_rear02,0.4,511.0,813512000000000.0,0.493054221,0.94651443,5774952922.0,7.098792547e-06,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0020.sdf,5250.03536,D_rear05,0.4,1139.0,1813288000000000.0,0.510568407,0.938708213,14164708740.0,7.811615554e-06,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0020.sdf,5250.03536,D_rear10,0.4,3423.0,5449416000000000.0,0.531306337,1.16020771,47876102330.0,8.785547356e-06,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0020.sdf,5250.03536,D_rear15,0.4,8347.0,1.3288424e+16,0.558908036,1.59864193,134618957900.0,1.013054354e-05,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0020.sdf,5250.03536,D_rear20,0.4,14017.0,2.2315064e+16,0.613404755,1.61369146,288296038800.0,1.291934627e-05,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0021.sdf,5500.00566,D_rear02,0.4,330.0,525360000000000.0,0.485657535,0.830707746,3547845418.0,6.753170052e-06,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
