run_id,a0,thickness_um,gate,probe,weight_total,ddn_yield_total,E_max_MeV
pic2d_stage1_scan6ps_16x40nm_a0_10_t_3um_20260706_r001,10.0,3.0,allE,D_rear20,4.02166264e+17,7442016249094.0,2.31125684
pic2d_stage1_scan6ps_16x40nm_a0_10_t_4um_20260706_r001,10.0,4.0,allE,D_rear02,1.328084608e+18,13611701710475.3,2.32367028
pic2d_stage1_scan6ps_16x40nm_a0_10_t_4um_20260706_r001,10.0,4.0,allE,D_rear05,1.16776384e+18,20122839935342.0,2.50176637
pic2d_stage1_scan6ps_16x40nm_a0_10_t_4um_20260706_r001,10.0,4.0,allE,D_rear10,9.13862128e+17,24819954317610.0,2.7593808
pic2d_stage1_scan6ps_16x40nm_a0_10_t_4um_20260706_r001,10.0,4.0,allE,D_rear15,7.05883248e+17,24365188342960.0,3.15602886
pic2d_stage1_scan6ps_16x40nm_a0_10_t_4um_20260706_r001,10.0,4.0,allE,D_rear20,5.37890632e+17,21948315473100.0,3.41437885
pic2d_stage1_scan6ps_16x40nm_a0_15_t_3um_20260706_r001,15.0,3.0,allE,D_rear02,1.035919176e+18,6034675120012.0,5.3379727
pic2d_stage1_scan6ps_16x40nm_a0_15_t_3um_20260706_r001,15.0,3.0,allE,D_rear05,9.27532632e+17,9212060262116.0,6.38638946
pic2d_stage1_scan6ps_16x40nm_a0_15_t_3um_20260706_r001,15.0,3.0,allE,D_rear10,7.394442e+17,11230945140519.0,7.39191482
pic2d_stage1_scan6ps_16x40nm_a0_15_t_3um_20260706_r001,15.0,3.0,allE,D_rear15,5.7815072e+17,11037026499258.0,7.68005661
pic2d_stage1_scan6ps_16x40nm_a0_15_t_3um_20260706_r001,15.0,3.0,allE,D_rear20,4.38678784e+17,10110466225450.0,7.71255859
pic2d_stage1_scan6ps_16x40nm_a0_20_t_3um_20260706_r001,20.0,3.0,allE,D_rear02,1.053130288e+18,11001095620139.0,14.3159321
pic2d_stage1_scan6ps_16x40nm_a0_20_t_3um_20260706_r001,20.0,3.0,allE,D_rear05,9.4487588e+17,15749559903231.0,17.2645812
pic2d_stage1_scan6ps_16x40nm_a0_20_t_3um_20260706_r001,20.0,3.0,allE,D_rear10,7.61582552e+17,18557593422096.0,19.1387348
pic2d_stage1_scan6ps_16x40nm_a0_20_t_3um_20260706_r001,20.0,3.0,allE,D_rear15,6.04238824e+17,18393787156950.0,19.8471317
pic2d_stage1_scan6ps_16x40nm_a0_20_t_3um_20260706_r001,20.0,3.0,allE,D_rear20,4.70330928e+17,17311050918960.0,20.0435806
