library,E_MeV,sigma_b
fendl32,29.0,0.0269295
fendl32,30.0,0.02668793
fendl32,31.0,0.02661634
fendl32,32.0,0.02652901
fendl32,33.0,0.02717752
fendl32,34.0,0.02778549
fendl32,35.0,0.02807522
fendl32,36.0,0.02833803
fendl32,37.0,0.02889619
fendl32,38.0,0.02941944
fendl32,39.0,0.0313422
fendl32,40.0,0.03318674
fendl32,41.0,0.03490393
fendl32,42.0,0.03655038
fendl32,43.0,0.03822517
fendl32,44.0,0.03983205
fendl32,45.0,0.04148626
fendl32,46.0,0.04307459
fendl32,47.0,0.04424928
fendl32,48.0,0.04537317
fendl32,49.0,0.04605298
fendl32,50.0,0.04669714
fendl32,51.0,0.04738322
fendl32,52.0,0.04803468
fendl32,53.0,0.04878579
fendl32,54.0,0.04950187
fendl32,55.0,0.04954065
fendl32,56.0,0.04956337
fendl32,57.0,0.049376
fendl32,58.0,0.04917896
fendl32,59.0,0.04952034
fendl32,60.0,0.04984067
fendl32,61.0,0.04919071
fendl32,62.0,0.0485433
fendl32,63.0,0.04789844
fendl32,64.0,0.04725612
fendl32,65.0,0.04661635
fendl32,66.0,0.0457718
fendl32,67.0,0.04493491
fendl32,68.0,0.04410569
fendl32,69.0,0.04328413
fendl32,70.0,0.04247025
fendl32,71.0,0.0417941
fendl32,72.0,0.04112328
fendl32,73.0,0.04045778
fendl32,74.0,0.03979761
fendl32,75.0,0.03914275
fendl32,76.0,0.03846916
fendl32,77.0,0.03780141
fendl32,78.0,0.03713951
fendl32,79.0,0.03648344
fendl32,80.0,0.03583322
fendl32,81.0,0.03526922
fendl32,82.0,0.03470967
fendl32,83.0,0.03415457
fendl32,84.0,0.03360392
fendl32,85.0,0.03305773
fendl32,86.0,0.03251598
fendl32,87.0,0.03197869
fendl32,88.0,0.03144584
fendl32,89.0,0.03091745
fendl32,90.0,0.03039351
fendl32,91.0,0.02993145
fendl32,92.0,0.02947282
fendl32,93.0,0.02901763
fendl32,94.0,0.02856588
fendl32,95.0,0.02811755
fendl32,96.0,0.02767266
fendl32,97.0,0.02723121
fendl32,98.0,0.02679319
fendl32,99.0,0.0263586
fendl32,100.0,0.02592744
fendl32,102.0,0.02515134
fendl32,104.0,0.02438612
fendl32,106.0,0.02363177
fendl32,108.0,0.02288829
fendl32,110.0,0.02215568
fendl32,112.0,0.02154451
fendl32,114.0,0.02094101
fendl32,116.0,0.02034518
fendl32,118.0,0.01975703
fendl32,120.0,0.01917655
fendl32,122.0,0.01868249
fendl32,124.0,0.01819402
fendl32,126.0,0.01771114
fendl32,128.0,0.01723385
fendl32,130.0,0.01676214
fendl32,132.0,0.0163466
fendl32,134.0,0.01593536
fendl32,136.0,0.0155284
fendl32,138.0,0.01512574
fendl32,140.0,0.01472737
fendl32,142.0,0.01438716
fendl32,144.0,0.01405012
fendl32,146.0,0.01371626
fendl32,148.0,0.01338558
fendl32,150.0,0.01305806
fendl32,152.0,0.01276691
fendl32,154.0,0.01247825
fendl32,156.0,0.01219207
fendl32,158.0,0.01190838
fendl32,160.0,0.01162718
fendl32,162.0,0.0114223
fendl32,164.0,0.01121888
fendl32,166.0,0.0110169
fendl32,168.0,0.01081636
fendl32,170.0,0.01061727
fendl32,172.0,0.01041963
fendl32,174.0,0.01022343
fendl32,176.0,0.01002867
fendl32,178.0,0.009835364
fendl32,180.0,0.009643499
fendl32,182.0,0.009505976
fendl32,184.0,0.009369252
fendl32,186.0,0.00923333
fendl32,188.0,0.009098208
fendl32,190.0,0.008963887
fendl32,192.0,0.008830366
fendl32,194.0,0.008697647
fendl32,196.0,0.008565728
fendl32,198.0,0.008434609
fendl32,200.0,0.008304292
endfb80,3.1454,0.0
endfb80,3.2,0.0009676245
endfb80,3.3,0.001413716
endfb80,3.4,0.001850603
endfb80,3.5,0.002560129
endfb80,3.6,0.003929718
endfb80,3.7,0.006054989
endfb80,3.7172,0.007015849
endfb80,3.717242,0.007014872
endfb80,3.8,0.00903156
endfb80,3.9,0.01905954
endfb80,4.0,0.03728221
endfb80,4.1,0.05620991
endfb80,4.2,0.068353
endfb80,4.2891,0.07365528
endfb80,4.289125,0.07365203
endfb80,4.3,0.07417357
endfb80,4.4,0.0793017
endfb80,4.5,0.08399976
endfb80,4.6,0.0885301
endfb80,4.7,0.09206139
endfb80,4.75682847,0.09343661
endfb80,4.8,0.09448134
endfb80,4.861,0.09612403
endfb80,4.861008,0.09612336
endfb80,4.9,0.09713089
endfb80,5.0,0.101351
endfb80,5.1,0.1149802
endfb80,5.2,0.1418042
endfb80,5.29564,0.1722087
endfb80,5.3,0.1770849
endfb80,5.35,0.201976
endfb80,5.4,0.216084
endfb80,5.4329,0.2313538
endfb80,5.45,0.2400406
endfb80,5.5,0.2639226
endfb80,5.55,0.2876988
endfb80,5.6,0.311475
endfb80,5.7,0.3468784
endfb80,5.8,0.366389
endfb80,5.9,0.3716445
endfb80,6.0,0.373715
endfb80,6.0048,0.3737514
endfb80,6.16884331,0.3747413
endfb80,6.25,0.3752311
endfb80,6.5,0.3768816
endfb80,6.5767,0.3776725
endfb80,6.75,0.3784501
endfb80,7.0,0.3797203
endfb80,7.1485,0.3802925
endfb80,7.148541,0.3802901
endfb80,7.25,0.3804757
endfb80,7.5,0.3805
endfb80,7.7204,0.3802131
endfb80,7.720424,0.3802117
endfb80,7.75,0.3801173
endfb80,8.0,0.379
endfb80,8.25,0.377067
endfb80,8.2923,0.3767331
endfb80,8.292307,0.3767328
endfb80,8.29288,0.3767281
endfb80,8.5,0.375033
endfb80,8.75,0.3728973
endfb80,8.8642,0.3718956
endfb80,8.86786,0.3718622
endfb80,9.0,0.3706594
endfb80,9.25,0.3683186
endfb80,9.4361,0.3665137
endfb80,9.5,0.3658743
endfb80,9.51365695,0.3657351
endfb80,9.75,0.3633259
endfb80,9.97823,0.3609038
endfb80,10.0,0.3606727
endfb80,10.008,0.3605878
endfb80,10.06117,0.3599892
endfb80,10.11501,0.3593832
endfb80,10.16235,0.3588504
endfb80,10.20395,0.358382
endfb80,10.2405,0.3579707
endfb80,10.30477,0.3572472
endfb80,10.35323,0.3567017
endfb80,10.38973,0.3562908
endfb80,10.44472,0.3556719
endfb80,10.5,0.3550496
endfb80,10.56124,0.3543217
endfb80,10.58,0.3540987
endfb80,10.66926,0.3530151
endfb80,10.751,0.3520228
endfb80,10.81272,0.3512736
endfb80,10.90596,0.3501417
endfb80,11.0,0.349
endfb80,11.152,0.3470964
endfb80,11.24722,0.3458968
endfb80,11.4123,0.343817
endfb80,11.5,0.3427121
endfb80,11.62301,0.341106
endfb80,11.71613,0.3398902
endfb80,11.724,0.3397874
endfb80,11.85722,0.3380301
endfb80,12.0,0.3361468
endfb80,12.12309,0.334406
endfb80,12.21624,0.3330887
endfb80,12.295,0.3319749
endfb80,12.2955,0.3319531
endfb80,12.33769,0.3313352
endfb80,12.35731,0.3310479
endfb80,12.5,0.3289581
endfb80,12.5226,0.32859
endfb80,12.52265,0.3285892
endfb80,12.74755,0.3249265
endfb80,12.867,0.322981
endfb80,12.86738,0.322964
endfb80,13.0,0.3208
endfb80,13.24764,0.3162458
endfb80,13.439,0.3127265
endfb80,13.43926,0.3127147
endfb80,13.5,0.3116122
endfb80,14.0,0.302352
endfb80,14.011,0.3021555
endfb80,14.01115,0.3021492
endfb80,14.5,0.2938782
endfb80,14.583,0.2923583
endfb80,14.58303,0.2923571
endfb80,15.0,0.285022
endfb80,15.155,0.2818184
endfb80,15.5,0.2749411
endfb80,15.727,0.2700987
endfb80,16.0,0.2644699
endfb80,16.299,0.2580166
endfb80,16.5,0.2538153
endfb80,16.871,0.2459084
endfb80,17.0,0.24324
endfb80,17.442,0.2347261
endfb80,17.44245,0.2347122
endfb80,17.5,0.2336388
endfb80,18.0,0.2251399
endfb80,18.014,0.2249143
endfb80,18.01433,0.2249058
endfb80,18.5,0.2172056
endfb80,18.586,0.2158905
endfb80,18.58621,0.2158855
endfb80,19.0,0.20962
endfb80,19.158,0.2072932
endfb80,19.1581,0.207291
endfb80,19.5,0.2022821
endfb80,19.73,0.1989978
endfb80,20.0,0.1951517
jeff33,3.1454,0.0
jeff33,3.2,0.0009676245
jeff33,3.3,0.001413716
jeff33,3.4,0.001850603
jeff33,3.5,0.002560129
jeff33,3.6,0.003929718
jeff33,3.7,0.006054989
jeff33,3.7172,0.007015849
jeff33,3.717242,0.007014872
jeff33,3.8,0.00903156
jeff33,3.9,0.01905954
jeff33,4.0,0.03728221
jeff33,4.1,0.05620991
jeff33,4.2,0.068353
jeff33,4.2891,0.07365528
jeff33,4.289125,0.07365203
jeff33,4.3,0.07417357
jeff33,4.4,0.0793017
jeff33,4.5,0.08399976
jeff33,4.6,0.0885301
jeff33,4.7,0.09206139
jeff33,4.8,0.09448134
jeff33,4.861,0.09612403
jeff33,4.861008,0.09612336
jeff33,4.9,0.09713089
jeff33,5.0,0.101351
jeff33,5.1,0.1149802
jeff33,5.2,0.1418042
jeff33,5.29564,0.1722087
jeff33,5.3,0.1770849
jeff33,5.35,0.201976
jeff33,5.4,0.216084
jeff33,5.4329,0.2313538
jeff33,5.45,0.2400406
jeff33,5.5,0.2639226
jeff33,5.55,0.2876988
jeff33,5.6,0.311475
jeff33,5.7,0.3468784
jeff33,5.8,0.366389
jeff33,5.9,0.3716445
jeff33,6.0,0.373715
jeff33,6.0048,0.3737514
jeff33,6.25,0.3752311
jeff33,6.5,0.3768816
jeff33,6.5767,0.3776725
jeff33,6.75,0.3784501
jeff33,7.0,0.3797203
jeff33,7.1485,0.3802925
jeff33,7.148541,0.3802901
jeff33,7.25,0.3804757
jeff33,7.5,0.3805
jeff33,7.7204,0.3802131
jeff33,7.720424,0.3802117
jeff33,7.75,0.3801173
jeff33,8.0,0.379
jeff33,8.25,0.377067
jeff33,8.2923,0.3767331
jeff33,8.292307,0.3767328
jeff33,8.29288,0.3767281
jeff33,8.5,0.375033
jeff33,8.75,0.3728973
jeff33,8.8642,0.3718956
jeff33,8.86786,0.3718622
jeff33,9.0,0.3706594
jeff33,9.25,0.3683186
jeff33,9.4361,0.3665137
jeff33,9.5,0.3658743
jeff33,9.75,0.3633259
jeff33,9.97823,0.3609038
jeff33,10.0,0.3606727
jeff33,10.008,0.3605878
jeff33,10.0695,0.3598955
jeff33,10.131,0.3592033
jeff33,10.1925,0.358511
jeff33,10.254,0.3578187
jeff33,10.3155,0.3571264
jeff33,10.377,0.3564341
jeff33,10.4385,0.3557419
jeff33,10.5,0.3550496
jeff33,10.58,0.3540987
jeff33,10.685,0.352824
jeff33,10.79,0.3515494
jeff33,10.895,0.3502747
jeff33,11.0,0.349
jeff33,11.152,0.3470964
jeff33,11.4123,0.343817
jeff33,11.5,0.3427121
jeff33,11.612,0.3412498
jeff33,11.724,0.3397874
jeff33,11.862,0.3379671
jeff33,12.0,0.3361468
jeff33,12.1475,0.3340609
jeff33,12.295,0.3319749
jeff33,12.2955,0.3319531
jeff33,12.39775,0.3304556
jeff33,12.5,0.3289581
jeff33,12.5226,0.32859
jeff33,12.52265,0.3285892
jeff33,12.69483,0.325785
jeff33,12.867,0.322981
jeff33,12.86738,0.322964
jeff33,13.0,0.3208
jeff33,13.439,0.3127265
jeff33,13.43926,0.3127147
jeff33,13.5,0.3116122
jeff33,14.0,0.302352
jeff33,14.011,0.3021555
