source_id,E_low_MeV,E_high_MeV,placeholder_norm,pstar_norm
pic2d_a0_10_t_2um,11.600000000000001,11.700000000000001,0.0,0.0
pic2d_a0_10_t_2um,11.700000000000001,11.8,0.0,0.0
pic2d_a0_10_t_2um,11.8,11.9,0.0,0.0
pic2d_a0_10_t_2um,11.9,12.0,0.0,0.0
pic2d_a0_05_t_3um,0.0,0.1,0.0,0.0
pic2d_a0_05_t_3um,0.1,0.2,0.0,0.0
pic2d_a0_05_t_3um,0.2,0.30000000000000004,0.0,0.0
pic2d_a0_05_t_3um,0.30000000000000004,0.4,0.0,0.0
pic2d_a0_05_t_3um,0.4,0.5,0.0,0.0
pic2d_a0_05_t_3um,0.5,0.6000000000000001,0.0,0.0
pic2d_a0_05_t_3um,0.6000000000000001,0.7000000000000001,0.0,0.0
pic2d_a0_05_t_3um,0.7000000000000001,0.8,0.0,0.0
pic2d_a0_05_t_3um,0.8,0.9,0.0,0.0
pic2d_a0_05_t_3um,0.9,1.0,0.0,0.0
pic2d_a0_05_t_3um,1.0,1.1,0.0,0.0
pic2d_a0_05_t_3um,1.1,1.2000000000000002,0.0,0.0
pic2d_a0_05_t_3um,1.2000000000000002,1.3,0.0,0.0
pic2d_a0_05_t_3um,1.3,1.4000000000000001,0.0,0.0
pic2d_a0_05_t_3um,1.4000000000000001,1.5,0.0,0.0
pic2d_a0_05_t_3um,1.5,1.6,0.0,0.0
pic2d_a0_05_t_3um,1.6,1.7000000000000002,3.228700832905008e-05,2.6482422428124366e-05
pic2d_a0_05_t_3um,1.7000000000000002,1.8,0.002847858478125724,0.0023667207061859705
pic2d_a0_05_t_3um,1.8,1.9000000000000001,0.021241119337808582,0.01862451939691194
pic2d_a0_05_t_3um,1.9000000000000001,2.0,0.0448917857145674,0.04236527029684166
pic2d_a0_05_t_3um,2.0,2.1,0.056184929601604996,0.05621492857726367
pic2d_a0_05_t_3um,2.1,2.2,0.06084915776537818,0.0629838926417918
pic2d_a0_05_t_3um,2.2,2.3000000000000003,0.0613911476951301,0.06499136546079974
pic2d_a0_05_t_3um,2.3000000000000003,2.4000000000000004,0.06029283179683709,0.06423041903774585
pic2d_a0_05_t_3um,2.4000000000000004,2.5,0.0605615829279052,0.06449082351235426
pic2d_a0_05_t_3um,2.5,2.6,0.06036306208075065,0.06426640622411599
pic2d_a0_05_t_3um,2.6,2.7,0.06023428290165283,0.06398951916310161
pic2d_a0_05_t_3um,2.7,2.8000000000000003,0.06092618713557928,0.06416321881005524
pic2d_a0_05_t_3um,2.8000000000000003,2.9000000000000004,0.06004780453499087,0.06253445806467844
pic2d_a0_05_t_3um,2.9000000000000004,3.0,0.05875149057690828,0.06002321489592076
pic2d_a0_05_t_3um,3.0,3.1,0.05688106654964302,0.05675475404780108
pic2d_a0_05_t_3um,3.1,3.2,0.053503337611564734,0.05196249093087223
pic2d_a0_05_t_3um,3.2,3.3000000000000003,0.049109593910530824,0.04666944570088977
pic2d_a0_05_t_3um,3.3000000000000003,3.4000000000000004,0.042257818497020705,0.03947984649631873
pic2d_a0_05_t_3um,3.4000000000000004,3.5,0.03495747092310405,0.0314703858385545
pic2d_a0_05_t_3um,3.5,3.6,0.028164096615902898,0.025426897606704624
pic2d_a0_05_t_3um,3.6,3.7,0.022357435654410528,0.01979053921575861
pic2d_a0_05_t_3um,3.7,3.8000000000000003,0.015803752391042862,0.013478545203339206
pic2d_a0_05_t_3um,3.8000000000000003,3.9000000000000004,0.010895214840792306,0.009163797165300044
pic2d_a0_05_t_3um,3.9000000000000004,4.0,0.007463958332932304,0.006366210773424815
pic2d_a0_05_t_3um,4.0,4.1000000000000005,0.004420558955108222,0.0037200585775671413
pic2d_a0_05_t_3um,4.1000000000000005,4.2,0.0025740313874475216,0.0019806582348920044
pic2d_a0_05_t_3um,4.2,4.3,0.0016194607746800938,0.0014044449982135632
pic2d_a0_05_t_3um,4.3,4.4,0.0006910772677826598,0.000543442048261557
pic2d_a0_05_t_3um,4.4,4.5,0.0003556920319246411,0.0002377434968601502
pic2d_a0_05_t_3um,4.5,4.6000000000000005,0.0002060518452577183,0.000175606709668578
pic2d_a0_05_t_3um,4.6000000000000005,4.7,0.0,0.0
pic2d_a0_05_t_3um,4.7,4.800000000000001,9.725939735970944e-05,8.171256182580064e-05
pic2d_a0_05_t_3um,4.800000000000001,4.9,2.6595457926079822e-05,2.218118354898144e-05
pic2d_a0_05_t_3um,4.9,5.0,0.0,0.0
pic2d_a0_05_t_3um,5.0,5.1000000000000005,0.0,0.0
pic2d_a0_05_t_3um,5.1000000000000005,5.2,0.0,0.0
pic2d_a0_05_t_3um,5.2,5.300000000000001,0.0,0.0
pic2d_a0_05_t_3um,5.300000000000001,5.4,0.0,0.0
pic2d_a0_05_t_3um,5.4,5.5,0.0,0.0
pic2d_a0_05_t_3um,5.5,5.6000000000000005,0.0,0.0
pic2d_a0_05_t_3um,5.6000000000000005,5.7,0.0,0.0
pic2d_a0_05_t_3um,5.7,5.800000000000001,0.0,0.0
pic2d_a0_05_t_3um,5.800000000000001,5.9,0.0,0.0
pic2d_a0_05_t_3um,5.9,6.0,0.0,0.0
pic2d_a0_05_t_3um,6.0,6.1000000000000005,0.0,0.0
pic2d_a0_05_t_3um,6.1000000000000005,6.2,0.0,0.0
pic2d_a0_05_t_3um,6.2,6.300000000000001,0.0,0.0
pic2d_a0_05_t_3um,6.300000000000001,6.4,0.0,0.0
pic2d_a0_05_t_3um,6.4,6.5,0.0,0.0
pic2d_a0_05_t_3um,6.5,6.6000000000000005,0.0,0.0
pic2d_a0_05_t_3um,6.6000000000000005,6.7,0.0,0.0
pic2d_a0_05_t_3um,6.7,6.800000000000001,0.0,0.0
pic2d_a0_05_t_3um,6.800000000000001,6.9,0.0,0.0
